fpl,understat,fpl_2024-25,opta_id
Benjamin White,Ben White,24.0,198869
Moisés Caicedo Corozo,Moisés Caicedo,157.0,486672
Endo Wataru,Wataru Endo,320.0,158983
Gabriel dos Santos Magalhães,Gabriel,3.0,226597
Chadi Riad Dnanou,Chadi Riad,195.0,515621
Kepa Arrizabalaga,Kepa,152.0,109745
Joelinton Cássio Apolinário de Lira,Joelinton,403.0,180974
Jeremy Sarmiento Morante,Jeremy Sarmiento,141.0,441192
Edson Álvarez Velázquez,Edson Álvarez,511.0,213999
Bruno Guimarães Rodriguez Moura,Bruno Guimarães,394.0,208706
Youssef Ramalho Chermiti,Youssef Chermiti,237.0,491012
Rodrigo 'Rodri' Hernandez,Rodri,360.0,220566
Matheus Luiz Nunes,Matheus Nunes,356.0,465351
Norberto Murara Neto,Neto,73.0,69752
Mitoma Kaoru,Kaoru Mitoma,136.0,451340
Jefferson Lerma Solís,Jefferson Lerma,206.0,152551
Bobby De Cordova-Reid,Bobby Reid,290.0,96994
Alisson Ramses Becker,Alisson,310.0,116535
Antony Matheus dos Santos,Antony,365.0,467169
Daniel Castelo Podence,Daniel Podence,562.0,200600
Mads Roerslev Rasmussen,Mads Roerslev,105.0,226956
Gabriel Fernando de Jesus,Gabriel Jesus,2.0,205651
Murillo Santiago Costa dos Santos,Murillo,436.0,575476
Emiliano Buendía Stati,Emiliano Buendía,31.0,195546
Jérémy Doku,Jéremy Doku,346.0,248875
Joe Gomez,Joseph Gomez,322.0,171287
Tomáš Souček,Tomas Soucek,530.0,215439
Nikola Milenković,Nikola Milenkovic,573.0,227444
Séamus Coleman,Seamus Coleman,221.0,59949
Rayan Aït-Nouri,Rayan Ait Nouri,533.0,448514
Cheick Doucouré,Cheick Oumar Doucoure,193.0,438464
Mateo Kovačić,Mateo Kovacic,354.0,91651
Marc Guéhi,Marc Guehi,200.0,209036
Amad Diallo,Amad Diallo Traore,364.0,493250
Kosta Nedeljković,Kosta Nedeljkovic,50.0,578545
