player_game_id,player_name,game_id,team_name,minutes,shots,goals,key_passes,assists,xG,xA,understat_game_id,date,away
108160,Wout Faes,3854,Leicester,90,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108161,Caleb Okoli,3854,Leicester,90,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108162,Victor Kristiansen,3854,Leicester,90,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108163,Oliver Skipp,3854,Leicester,90,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108164,Harry Winks,3854,Leicester,90,0,0,1,0,0.0,0.04,26655,2024-09-28,Leicester
108165,Facundo Buonanotte,3854,Leicester,88,2,0,1,1,0.13,0.05,26655,2024-09-28,Leicester
108166,Wilfred Ndidi,3854,Leicester,90,0,0,1,1,0.0,0.04,26655,2024-09-28,Leicester
108167,Stephy Mavididi,3854,Leicester,90,0,0,1,0,0.0,0.09,26655,2024-09-28,Leicester
108168,Jamie Vardy,3854,Leicester,90,0,0,1,0,0.0,0.12,26655,2024-09-28,Leicester
108169,Bilal El Khannouss,3854,Leicester,1,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108170,Odsonne Edouard,3854,Leicester,1,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108171,Abdul Fatawu,3854,Leicester,1,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108172,Jordan Ayew,3854,Leicester,2,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108173,Bobby Reid,3854,Leicester,1,0,0,0,0,0.0,0.0,26655,2024-09-28,Leicester
108174,Mark Flekken,3855,Brentford,90,0,0,0,0,0.0,0.0,26656,2024-09-28,West Ham
108175,Sepp van den Berg,3855,Brentford,90,1,0,0,0,0.07,0.0,26656,2024-09-28,West Ham
108176,Nathan Collins,3855,Brentford,90,0,0,0,0,0.0,0.0,26656,2024-09-28,West Ham
108177,Ethan Pinnock,3855,Brentford,90,0,0,0,0,0.0,0.0,26656,2024-09-28,West Ham
108178,Kristoffer Ajer,3855,Brentford,90,0,0,0,0,0.0,0.0,26656,2024-09-28,West Ham
108179,Kevin Schade,3855,Brentford,61,0,0,0,0,0.0,0.0,26656,2024-09-28,West Ham
108180,Mikkel Damsgaard,3855,Brentford,90,0,0,1,0,0.0,0.08,26656,2024-09-28,West Ham
108181,Vitaly Janelt,3855,Brentford,90,0,0,0,0,0.0,0.0,26656,2024-09-28,West Ham
108182,Keane Lewis-Potter,3855,Brentford,90,1,0,0,0,0.01,0.0,26656,2024-09-28,West Ham
108183,Bryan Mbeumo,3855,Brentford,90,4,1,1,0,0.23,0.01,26656,2024-09-28,West Ham
108184,Fabio Carvalho,3855,Brentford,86,1,0,1,1,0.01,0.08,26656,2024-09-28,West Ham
108185,Yunus Konak,3855,Brentford,4,0,0,0,0,0.0,0.0,26656,2024-09-28,West Ham
108186,Yehor Yarmolyuk,3855,Brentford,29,1,0,1,0,0.05,0.02,26656,2024-09-28,West Ham
108187,Alphonse Areola,3855,West Ham,90,0,0,0,0,0.0,0.0,26656,2024-09-28,West Ham
108188,Aaron Wan-Bissaka,3855,West Ham,90,1,0,1,0,0.02,0.07,26656,2024-09-28,West Ham
108189,Jean-Clair Todibo,3855,West Ham,90,2,0,0,0,0.1,0.0,26656,2024-09-28,West Ham
108190,Max Kilman,3855,West Ham,90,0,0,1,0,0.0,0.05,26656,2024-09-28,West Ham
