season,gw,fpl_element,local_understat_id,local_understat_fixture,fpl_name,understat_name,position,fpl_team,understat_team,opponent_fpl_team_number,fpl_kickoff_time,understat_date,value,points,minutes,goals_scored,xG,goals_conceded,assists,xA,yellow_cards,red_cards,clean_sheets,key_passes,own_goals,penalties_missed,penalties_saved,saves,bonus,team_a_score,team_h_score,was_home,expected_assists,expected_goals
2024-25,16,381,,,Scott McTominay,Scott McTominay,3,11,,10,2024-12-15T16:30:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,1,False,0.0,0.0
2024-25,17,381,,,Scott McTominay,Scott McTominay,3,11,,2,2024-12-22T14:00:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,3,0,True,0.0,0.0
2024-25,18,381,,,Scott McTominay,Scott McTominay,3,11,,26,2024-12-26T17:30:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,2,False,0.0,0.0
2024-25,19,381,,,Scott McTominay,Scott McTominay,3,11,,23,2024-12-30T20:00:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,0,True,0.0,0.0
2024-25,20,381,,,Scott McTominay,Scott McTominay,3,11,,9,2025-01-05T16:30:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,2,False,0.0,0.0
2024-25,21,381,,,Scott McTominay,Scott McTominay,3,11,,13,2025-01-16T20:00:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,3,True,0.0,0.0
2024-25,22,381,,,Scott McTominay,Scott McTominay,3,11,,21,2025-01-19T14:00:00Z,,49,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,3,1,True,0.0,0.0
2024-25,6,48,,,John McGinn,John McGinn,3,27,,34,2024-09-29T13:00:00Z,,53,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,2,False,0.0,0.0
2024-25,7,48,,,John McGinn,John McGinn,3,27,,11,2024-10-06T13:00:00Z,,53,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,True,0.0,0.0
2024-25,8,48,108724.0,3872.0,John McGinn,John McGinn,3,27,Aston Villa,25,2024-10-19T14:00:00Z,2024-10-19,52,1,7,0,0.0,0,0,0.07,0,0,0,1.0,0,0,0,0,0,3,1,False,0.01,0.0
2024-25,9,48,109032.0,3883.0,John McGinn,John McGinn,3,27,Aston Villa,2,2024-10-26T14:00:00Z,2024-10-26,52,2,70,0,0.0,0,0,0.07,1,0,1,1.0,0,0,0,0,0,1,1,True,0.07,0.0
2024-25,10,48,109535.0,3899.0,John McGinn,John McGinn,3,27,Aston Villa,17,2024-11-03T14:00:00Z,2024-11-03,52,2,80,0,0.05,3,0,0.02,0,0,0,1.0,0,0,0,0,0,1,4,False,0.03,0.07
2024-25,11,48,109752.0,3906.0,John McGinn,John McGinn,3,27,Aston Villa,9,2024-11-09T20:00:00Z,2024-11-09,52,1,45,0,0.06,1,0,0.32,0,0,0,1.0,0,0,0,0,0,0,2,False,0.11,0.05
2024-25,12,48,109999.0,3915.0,John McGinn,John McGinn,3,27,Aston Villa,5,2024-11-23T15:00:00Z,2024-11-23,52,5,68,0,0.69,2,1,0.88,0,0,0,3.0,0,0,0,0,0,2,2,True,0.34,0.42
2024-25,13,48,110261.0,3923.0,John McGinn,John McGinn,3,27,Aston Villa,4,2024-12-01T13:30:00Z,2024-12-01,52,2,90,0,0.17,3,0,0.3,0,0,0,1.0,0,0,0,0,0,0,3,False,0.0,0.24
2024-25,14,48,110552.0,3933.0,John McGinn,John McGinn,3,27,Aston Villa,31,2024-12-04T20:15:00Z,2024-12-04,52,2,87,0,0.3,1,0,0.02,0,0,0,1.0,0,0,0,0,0,1,3,True,0.08,0.11
2024-25,15,48,110798.0,3941.0,John McGinn,John McGinn,3,27,Aston Villa,13,2024-12-07T15:00:00Z,2024-12-07,52,3,90,0,0.72,0,0,0.09,0,0,1,2.0,0,0,0,0,0,0,1,True,0.07,0.42
