id,player_name,game_id,team_name,minutes,shots,goals,key_passes,assists,xG,xA
113472,Ryan Christie,4030,Bournemouth,85,1,0,2,0,0.02,0.38
113473,David Brooks,4030,Bournemouth,71,0,0,1,0,0.00,0.30
113474,Justin Kluivert,4030,Bournemouth,90,3,0,2,0,0.50,0.10
113475,Antoine Semenyo,4030,Bournemouth,90,6,0,0,0,0.80,0.00
113476,Dango Ouattara,4030,Bournemouth,90,1,0,2,0,0.30,0.31
113477,Daniel Jebbison,4030,Bournemouth,5,0,0,0,0,0.00,0.00
113478,Marcus Tavernier,4030,Bournemouth,19,2,0,0,0,0.04,0.00
113479,Alisson,4030,Liverpool,90,0,0,0,0,0.00,0.00
113480,Trent Alexander-Arnold,4030,Liverpool,75,3,0,1,0,0.13,0.06
113481,Ibrahima Konaté,4030,Liverpool,90,0,0,0,0,0.00,0.00
113482,Virgil van Dijk,4030,Liverpool,90,0,0,0,0,0.00,0.00
113483,Andrew Robertson,4030,Liverpool,90,0,0,1,0,0.00,0.56
113484,Alexis Mac Allister,4030,Liverpool,66,2,0,1,0,0.15,0.02
113485,Ryan Gravenberch,4030,Liverpool,90,1,0,2,0,0.06,0.06
113486,Mohamed Salah,4030,Liverpool,90,4,2,2,0,0.87,0.20
113487,Dominik Szoboszlai,4030,Liverpool,90,3,0,3,0,0.22,0.54
113488,Cody Gakpo,4030,Liverpool,75,1,0,1,0,0.01,0.08
113489,Luis Díaz,4030,Liverpool,90,2,0,1,0,0.68,0.08
113490,Wataru Endo,4030,Liverpool,1,0,0,0,0,0.00,0.00
113491,Darwin Núñez,4030,Liverpool,15,0,0,0,0,0.00,0.00
113492,Curtis Jones,4030,Liverpool,24,2,0,2,1,0.57,0.08
113493,Conor Bradley,4030,Liverpool,15,1,0,0,0,0.04,0.00
113494,David Raya,4031,Arsenal,90,0,0,0,0,0.00,0.00
113495,Jurriën Timber,4031,Arsenal,90,1,0,0,0,0.02,0.00
113496,Gabriel,4031,Arsenal,90,1,0,0,0,0.08,0.00
